id,own,competing1,competing3,borrowertype,accepted,default,profit
100081,.040030088,0,.119,0,0,0,
100082,,.40000001,.59011096,3,0,0,
100083,,.13333778,.39055547,0,0,1,
100084,,,,0,0,1,
100085,,.21351427,.22149999,0,0,1,
100086,,.123,.19159999,2,0,1,
100087,,.28214818,.23092915,0,0,0,
100088,,,.26578614,2,0,1,
100089,,.17567925,.45590252,0,0,0,
100090,,.1490819,.18822126,0,0,0,
100091,,,,0,0,1,
100092,,.40000001,.2469369,2,0,0,
100093,.039999999,.037110746,.043905586,0,0,0,
100094,,.37,,1,0,0,
100095,,.12361906,,1,0,0,
100096,,,,0,0,0,
100097,,.2,.073361948,1,0,0,
100098,.041785009,.22351426,.04390559,3,0,0,
100099,,,,0,0,0,
100100,,.075000003,.018520389,0,0,0,
100101,.081112057,.1,.11465938,3,1,0,811.12054
100102,,,.69589102,3,0,0,
100103,.060728416,.19302052,.17657456,3,1,0,607.28418
100104,.082178116,.003827326,.04932607,3,0,0,
100105,,.40000001,.19717912,0,0,0,
100106,.078221858,.15082863,.033042971,0,0,0,
100107,,.3925522,,0,0,1,
100108,,,.49403998,0,0,0,
100109,,.40000001,.14946082,3,0,0,
100110,.084716499,.34,.33243528,0,1,0,847.16498
100111,.040758453,.010228277,.24838337,0,0,0,
100112,.062203381,.15908191,,2,1,0,622.03381
100113,,.29899359,.42468387,0,0,0,
100114,.041195076,.019012801,.068999998,0,0,0,
100115,.040087562,0,.092,1,0,0,
100116,,.13333778,.17110902,3,0,0,
100117,,.81996083,.28839999,0,0,1,
100118,.082679294,.28214818,.2155,0,1,0,826.79297
100119,,.38091454,,0,0,0,
100120,,.40000001,,3,0,1,
100121,,.053995982,.16284959,0,0,0,
100122,.04514543,.2,.1926,2,1,0,451.45428
100123,,.31309456,.45844156,3,0,0,
100124,.075308509,.037654087,.10265247,0,0,0,
100125,,.18322797,.18695149,0,0,0,
100126,,.40000001,,2,0,1,
100127,,,.26685259,0,0,0,
100128,,.44100001,.39292321,1,0,1,
100129,.048594501,.27214816,.1322,0,1,0,485.94501
100130,,.17,.114,0,0,0,
100131,,,,0,0,1,
100132,,.2521337,.52877933,0,0,0,
100133,.053534042,.14661713,.11863937,0,1,0,535.34039
100134,,.35654172,,1,0,0,
100135,.083965525,.25999999,.118,0,1,0,839.65527
100136,,.22403423,,0,0,0,
100137,.040012501,.22403423,.13287349,0,1,0,400.125
100138,.081190996,.40850142,,0,1,0,811.90997
100139,.040599573,.050000001,.2078422,0,1,0,405.99573
100140,.063360862,.18302053,,2,1,0,633.60864
100141,,.28928134,.45137632,2,0,0,
100142,,,,0,0,1,
100143,,.028078699,,0,0,0,
100144,,.184431,.17392002,0,0,0,
100145,,.33000001,.63633937,2,0,0,
100146,,.23999999,.19580001,0,0,0,
100147,,.1435058,,0,0,0,
100148,,.63019538,,0,0,0,
100149,,.20999999,.17653325,1,0,0,
100150,,.51467091,,0,0,0,
100151,,.22351426,.39671704,0,0,0,
100152,,,.57885689,2,0,0,
100153,.048379149,.075000003,.18229288,0,1,0,483.7915
100154,,.28610685,,0,0,0,
100155,.059488233,.16521347,.1675,1,1,0,594.88232
100156,,.38091454,.42559999,0,0,0,
100157,,.046139337,.15104041,0,0,0,
100158,.046531271,.035773437,.082999997,0,0,0,
100159,,.31,.1909,3,0,0,
100160,,.33627102,.2095,3,0,0,
100161,,.86288834,.24954937,0,0,0,
100162,,.22,.21161105,0,0,1,
100163,,.35699999,,0,0,0,
100164,,.22351426,.19270937,2,0,1,
100165,.040037736,.02,.090000004,0,0,0,
100166,,.15908191,,0,0,0,
100167,,.377,.54937822,0,0,0,
100168,.089295611,.037212599,.015491498,0,0,0,
100169,,.33811116,.27372059,0,0,0,
100170,,.23,,0,0,0,
100171,,.048280947,.111,1,0,1,
100172,,0,.55325001,1,0,0,
100173,.055730756,.58815211,.1441,0,1,0,557.30756
100174,,.40000001,.38067445,0,0,0,
100175,.049577553,.15908191,,0,1,0,495.77554
100176,,,.2866928,1,0,0,
100177,,0,,0,0,0,
100178,,.40255219,.73696673,0,0,0,
100179,,,.29786885,0,0,0,
100180,,.066974945,.20739591,0,0,0,
100181,,.27214816,,2,0,0,
100182,,.4925383,,2,0,1,
100183,,.17358172,.15530001,0,0,0,
100184,.06598229,.050000001,.22445849,0,0,0,
100185,,.091367684,,0,0,0,
100186,,.169,,0,0,0,
100187,,.27214816,.25709999,0,0,0,
100188,,.30000001,.13367745,2,0,0,
100189,,.2,.19197747,3,0,0,
100190,.09034016,.15908191,.19864427,0,1,0,903.40161
100191,.043722898,.075000003,.18764943,0,1,0,437.22897
100192,,.43900001,.38963056,0,0,1,
100193,,.18302053,.123,0,0,0,
100194,,.373,.28222063,2,0,0,
100195,,.25337172,,0,0,0,
100196,,.28214818,,3,0,1,
100197,,.22351426,.24044727,0,0,0,
100198,,.38779676,.44808546,0,0,0,
100199,,,.65163636,0,0,0,
100200,,.65664238,.52800447,0,0,0,
100201,,.59453678,.2868,0,0,0,
100202,,.40000001,.60278511,0,0,0,
100203,,1,,0,0,0,
100204,.042409703,.085533224,,2,1,0,424.09705
100205,,.28214818,,0,0,1,
100206,.080492213,.12333779,,2,1,0,804.92212
100207,,.12776415,.23128775,0,0,0,
100208,,.10077298,,3,0,1,
100209,,.34,.0999,0,0,1,
100210,.060625594,.40000001,,3,1,0,606.25592
100211,,.11727027,,0,0,0,
100212,,1,,0,0,0,
100213,,1,.55942011,0,0,1,
100214,,.204,.11,0,0,0,
100215,,.40000001,,0,0,0,
100216,,.30000001,.26698536,0,0,0,
100217,,.14749967,.33309999,0,0,0,
100218,.066309266,.068317235,.18758896,0,1,1,-10000
100219,,.21351427,.19341925,0,0,0,
100220,,.23,.39344358,0,0,1,
100221,,.37091455,.19540206,0,0,0,
100222,,.071101278,,0,0,0,
100223,,.073307686,.102,0,0,0,
100224,,.27062052,.34135762,0,0,1,
100225,.06119103,.0079699606,.098099999,0,0,0,
100226,,.27214816,.18985131,0,0,1,
100227,,.27214816,.1664,3,0,0,
100228,,,.69386637,0,0,1,
100229,.048178341,.081811786,.093217872,1,1,0,481.78342
100230,,.049785022,.16018268,0,0,0,
100231,.044253979,.049565926,.12658815,1,0,0,
100232,,.74529332,.2247,0,0,1,
100233,.057946447,.2,.2101,0,1,0,579.46448
100234,.0589866,.052740082,,0,0,0,
100235,.083193697,.40000001,.2159,0,1,0,831.93695
100236,,.059112865,.42007902,2,0,0,
100237,,.23403424,.57948101,3,0,0,
100238,,.74890649,.16273645,0,0,0,
100239,.090777822,.36016652,,0,1,0,907.7782
100240,,.40000001,.19371079,0,0,0,
100241,,.30000001,.1744,2,0,0,
100242,,.32531539,,2,0,0,
100243,,.20999999,,0,0,0,
100244,,.29854316,.23995447,1,0,0,
100245,,.301,.15720879,0,0,0,
100246,,.12960577,.21945666,0,0,1,
100247,,.22403423,.44602153,3,0,1,
100248,,.17,,3,0,1,
100249,,.36000001,.2717098,2,0,0,
100250,.041088361,.075000003,.043905586,2,1,0,410.88361
100251,,.58704424,.90864992,0,0,0,
100252,.059929986,.057124782,.047633696,0,0,0,
100253,,,,0,0,0,
100254,,.08596646,.26389143,2,0,0,
100255,,.38999999,,0,0,0,
100256,,.31999999,.75412476,0,0,1,
100257,,.252,.22802006,2,0,0,
100258,,.38625351,.18078922,0,0,0,
100259,.043528095,.088630937,.15800001,0,1,0,435.28094
100260,,.45957208,.16537318,0,0,0,
100261,,.34453532,.44961077,0,0,0,
100262,.077694878,.024606183,,2,0,0,
100263,,.38091454,.44749999,2,0,0,
100264,,.37091455,.28105065,0,0,0,
100265,,.27214816,,0,0,1,
100266,,.3925522,,2,0,0,
100267,.063826613,.44197446,.22674732,2,1,0,638.26611
100268,.079469122,.2,.2579,0,1,0,794.69122
100269,,.28214818,,0,0,0,
100270,,.3047767,.44664103,3,0,0,
100271,,.40000001,.50801009,3,0,0,
100272,,.3528536,.19763905,0,0,0,
100273,,.27214816,.31219819,2,0,1,
100274,,.15908191,,1,0,0,
100275,,.21587862,.1772,0,0,0,
100276,,.34,.36332825,2,0,0,
100277,,.41425851,.17624147,0,0,0,
100278,,.36000001,.36462328,0,0,0,
100279,,,.96928275,0,0,1,
100280,,.33000001,,0,0,0,
100281,,.19302052,,2,0,0,
100282,,.15610597,.31650001,0,0,1,
100283,.041945864,.00092148921,.12041524,0,0,0,
100284,,,.39290962,3,0,1,
100285,.080981456,.087620564,.058241807,0,0,0,
100286,,.13865846,,3,0,0,
100287,,.79374456,,0,0,0,
100288,,.456,.3098,0,0,0,
100289,.040333446,.0014244613,.071999997,0,0,0,
100290,,.40000001,,2,0,1,
100291,,0,.3018645,0,0,1,
100292,,,,0,0,0,
100293,,,.41479477,1,0,1,
100294,.045704391,.040401548,.13713706,1,0,0,
100295,,.058399469,.17096503,3,0,0,
100296,,.40000001,.2115,2,0,0,
100297,,.18302053,.13266496,0,0,0,
100298,,.06490209,.44922137,0,0,1,
100299,,.175,,0,0,0,
100300,,.36885372,,0,0,0,
100301,,.083306856,.35622463,0,0,0,
100302,,.37091455,.58361989,0,0,0,
100303,,.15908191,,0,0,0,
100304,,.11,.077399999,3,0,0,
100305,.083162367,.23999999,.25354239,2,1,0,831.62366
100306,,.25155362,.2227,2,0,0,
100307,,.23403424,.17479825,1,0,0,
100308,,.28214818,.28816211,0,0,0,
100309,,.37,,0,0,0,
100310,,.40000001,.19339122,0,0,0,
100311,.080365717,.2,,0,1,0,803.65717
100312,,.19302052,.72160894,3,0,1,
100313,,.1196932,,0,0,0,
100314,,.060331725,.2287,0,0,0,
100315,,.57999998,,0,0,0,
100316,,.486,.097900003,0,0,0,
100317,,.40000001,.22992885,2,0,1,
100318,.06381008,.22909096,,0,1,0,638.10083
100319,.039999999,.055696998,.059418987,1,0,0,
100320,,.27214816,,0,0,0,
100321,.039999999,.029999999,.17091733,1,0,0,
100322,,.40000001,,3,0,1,
100323,.039999999,.075000003,.078000002,1,1,0,400
100324,,.091941968,,0,0,0,
100325,,,.56136709,0,0,1,
100326,,.0621778,.18791381,0,0,0,
100327,.041112348,.0053797434,.043905839,0,0,0,
100328,,.07830105,.22040001,1,0,0,
100329,,.17,.18595856,0,0,0,
100330,,.17900001,,0,0,0,
100331,,,.65499026,0,0,0,
100332,.046945035,.075000003,6.6126004e-06,0,0,0,
100333,,.14443868,.20941979,0,0,0,
100334,,.70327252,,0,0,0,
100335,,.40000001,.36796033,0,0,0,
100336,.055248171,.13084087,.14860544,0,1,0,552.48169
100337,.049137689,.12333779,.13330001,1,1,0,491.37689
100338,,.18302053,,3,0,0,
100339,,.40000001,.47368926,0,0,0,
100340,,.25,.2184,3,0,0,
100341,,.30000001,.1774635,0,0,0,
100342,.078878775,.36730197,,0,1,0,788.78778
100343,,.14124045,.1036,0,0,0,
100344,.058133159,.069329195,.103,0,1,0,581.3316
100345,,.18302053,,0,0,0,
100346,,.28400001,.24526247,0,0,0,
100347,,.14195512,.19734798,3,0,0,
100348,,.13,.104,2,0,0,
100349,.041162021,.003,.10540047,0,0,0,
100350,,.40000001,.48407793,0,0,0,
100351,,.37512586,.42402643,2,0,1,
100352,,.0020000001,.048849992,0,0,1,
100353,,.338,.48977497,0,0,0,
100354,,.40000001,.28220466,0,0,0,
100355,,.38091454,.31639445,0,0,1,
100356,,,.38550633,0,0,0,
100357,,.1132471,.24954817,0,0,0,
100358,.067623861,.075000003,.021660857,3,0,0,
100359,.040382616,.13333778,.06844832,1,1,0,403.82617
100360,,.40000001,.2712,0,0,1,
100361,,,.24725141,0,0,1,
100362,,.19,.19874626,0,0,0,
100363,,.14722779,,0,0,0,
100364,.074305788,.082000002,,3,1,0,743.05786
100365,,.9024145,.44666129,1,0,0,
100366,.070025243,,.39910001,0,1,0,700.25244
100367,.041291405,.02,.00066002761,0,0,0,
100368,,,,0,0,0,
100369,.078467771,.002500206,.16760001,0,0,0,
100370,.040245231,.075000003,.049122639,0,1,0,402.4523
100371,,.13303137,,3,0,0,
100372,.090781361,.13333778,.17670479,0,1,1,-10000
100373,,.23403424,.52581996,0,0,0,
100374,.049522564,.1106606,.124,1,1,0,495.22565
100375,,.18302053,.20964174,0,0,0,
100376,,1,,0,0,0,
100377,,,,0,0,0,
100378,,.40000001,.44691092,2,0,0,
100379,,,.780056,0,0,1,
100380,,.14578296,.1911,0,0,1,
100381,,.34,.45304814,0,0,0,
100382,,0,,2,0,0,
100383,,.32154009,.29137778,0,0,1,
100384,,.22,.23301081,0,0,0,
100385,,.3925522,.57710928,0,0,0,
100386,,0,,2,0,0,
100387,,.27214816,,0,0,0,
100388,,.40000001,.25627258,0,0,0,
100389,.039999999,.050000001,.079000004,0,1,0,400
100390,,0,,0,0,1,
100391,.039999999,.02,.104,0,0,0,
100392,,.15763983,.23118152,0,0,0,
100393,,.52469677,,2,0,0,
100394,,.069380894,,0,0,0,
100395,,.47,,1,0,1,
100396,.051527169,.015,.11158593,1,0,1,
100397,,.33866775,.70456612,3,0,1,
100398,.039999999,.061972186,.072514579,0,1,1,-10000
100399,,.57999998,,2,0,0,
100400,,.058598004,,0,0,0,
100401,,.1490819,.13173364,0,0,0,
100402,,1,.78601092,3,0,0,
100403,,1,,0,0,0,
100404,,.53799999,.37677217,1,0,0,
100405,,.2,,0,0,0,
100406,,.10746522,.40959889,0,0,1,
100407,,,.45896724,0,0,0,
100408,,0,,0,0,1,
100409,,.28999999,,0,0,0,
100410,,.40000001,.28987801,0,0,0,
100411,,.32142314,.34722,0,0,0,
100412,,,,0,0,0,
100413,.042720411,.090000004,.034806497,1,0,0,
100414,,.6102978,.26267549,2,0,0,
100415,,.16511461,.32475603,0,0,0,
100416,.088064596,.090999998,.19346021,0,1,0,880.64594
100417,,.064652778,.1607879,3,0,0,
100418,,.2,.24638738,3,0,0,
100419,,.036733817,.18618652,0,0,0,
100420,,.15908191,,3,0,0,
100421,.073811278,.035280943,.20656717,0,0,0,
100422,,.62,.20917037,0,0,0,
100423,,.36391965,.26144794,0,0,1,
100424,,,.5690825,0,0,0,
100425,.078135289,.30000001,,3,1,0,781.35291
100426,.059606858,.2,.24749146,0,1,0,596.0686
100427,,.18000001,,0,0,0,
100428,,.32699999,.33676842,0,0,0,
100429,,.21351427,.3008,0,0,0,
100430,.040336274,.02,.13994129,0,0,0,
100431,,.15908191,,1,0,0,
100432,,.21351427,.41252619,1,0,0,
100433,,.23403424,.090000004,0,0,0,
100434,,.23951645,.2554161,2,0,0,
100435,,.23813355,,0,0,0,
100436,,.40817812,.62620592,1,0,0,
100437,,,,0,0,0,
100438,,.31,.36879295,0,0,1,
100439,.045878071,.13333778,.0076461923,0,0,0,
100440,,.54500002,.35208595,0,0,0,
100441,,.19,.14328101,0,0,0,
100442,,.40000001,.51426131,0,0,0,
100443,.039999999,.075000003,.098999999,0,1,0,400
100444,,.40000001,,0,0,0,
100445,,.40799999,,3,0,0,
100446,,.28214818,.1735,0,0,0,
100447,,.074749596,,0,0,0,
100448,,.91967231,.41963312,3,0,0,
100449,.062080707,.092845485,.21230078,0,1,0,620.80707
100450,,.072999999,.11983904,0,0,0,
100451,,.31197098,.41384244,3,0,1,
100452,,1,.29331294,0,0,0,
100453,,.33155861,.42369306,1,0,1,
100454,,.40000001,.19879206,0,0,0,
100455,,.093306854,.093000002,0,0,0,
100456,.049494985,.27214816,.12204087,0,1,0,494.94986
100457,,.699,.48477015,0,0,0,
100458,,.075000003,.061653025,0,0,0,
100459,,1,.38656679,0,0,0,
100460,,.56999999,.64048898,3,0,1,
100461,,,,0,0,0,
100462,,,,0,0,1,
100463,,.37,.29283535,0,0,0,
100464,,.40000001,.12909766,2,0,0,
100465,,.3117989,.2604,1,0,0,
100466,.048744913,.21799999,.43057814,0,1,0,487.44913
100467,,.1067099,.20308134,0,0,0,
100468,,.38999999,,0,0,1,
100469,,.34,,3,0,0,
100470,,.22403423,.57869315,0,0,0,
100471,,.38999999,.41387957,3,0,0,
100472,,.40000001,.30070001,0,0,0,
100473,,.20299999,.25211936,0,0,1,
100474,.081759773,.23,,3,1,0,817.59772
100475,,.40000001,.0876,1,0,0,
100476,,.39595148,.37479252,1,0,0,
100477,,.34783426,,0,0,0,
100478,.06675145,.06485337,.049218781,2,1,0,667.51453
100479,.055801392,.075000003,.18189999,3,1,0,558.01392
100480,.066159196,.12316077,.27419999,3,1,0,661.59198
100481,.054476153,.02,.046999998,0,0,0,
100482,,.18302053,.16892397,0,0,0,
100483,,.37091455,,0,0,0,
100484,,.40000001,.40615907,1,0,1,
100485,,.32352331,.24009725,0,0,0,
100486,,.61299998,,0,0,0,
100487,,,.54849094,3,0,1,
100488,,1,.66953999,0,0,0,
100489,,.40000001,.27379999,2,0,0,
100490,,,.66329503,2,0,1,
100491,,.27214816,,0,0,0,
100492,.072670922,.080092475,.096072324,0,1,0,726.70923
100493,,,.48679999,2,0,1,
100494,,.22403423,,0,0,1,
100495,,.40000001,,0,0,1,
100496,.082658537,.017969016,,0,0,0,
100497,,.27000001,.29730001,0,0,0,
100498,.041365966,.029999999,.13150001,0,0,0,
100499,,.1490819,.29124439,0,0,0,
100500,,.23,.36189267,2,0,1,
100501,,.046956789,.17214106,3,0,0,
100502,,.18000001,.17627457,0,0,1,
100503,,.77221841,,0,0,0,
100504,,.083999999,.13733041,3,0,0,
100505,,.45788702,.23097666,0,0,0,
100506,.040107291,4.7671400e-09,.04390559,0,0,0,
100507,,.36489958,.32650217,0,0,0,
100508,,1,.4280149,3,0,0,
100509,,.23168206,.20050462,0,0,0,
100510,,,,3,0,0,
100511,,.22403423,.13152513,0,0,1,
100512,,.40000001,.25913501,3,0,0,
100513,.085172914,.041999999,.19348529,0,0,0,
100514,,.041999999,.26101267,0,0,1,
100515,,,.2929455,0,0,1,
100516,.04029258,.049939305,1.3007617e-07,0,0,0,
100517,.085808121,.050000001,.047817662,0,0,0,
100518,,.40000001,,0,0,0,
100519,,.40464985,.26556727,0,0,0,
100520,.040840264,.075000003,.075400002,0,1,0,408.40265
100521,,.11707627,.25776109,0,0,0,
100522,,.22,,0,0,0,
100523,,,,0,0,0,
100524,,.23,,0,0,0,
100525,,.17121153,.17262822,0,0,0,
100526,,.19302052,.37691215,0,0,0,
100527,.061427794,.026423048,.21529999,0,0,0,
100528,,.041999999,.12992921,0,0,0,
100529,,.22299345,.26059836,0,0,0,
100530,,.40000001,.54867393,0,0,0,
100531,,.40000001,.27888361,0,0,0,
100532,.055329196,.043000001,.044090595,0,0,0,
100533,.040448811,.004878039,.17132901,0,0,0,
100534,,.34,.20854494,0,0,0,
100535,,.38091454,,0,0,0,
100536,,.40000001,,2,0,0,
100537,,.28,.1901,0,0,0,
100538,.040614437,.02,.081,0,0,0,
100539,,.1490819,.3461,1,0,0,
100540,,.25999999,.27799654,3,0,0,
100541,,.65029067,,2,0,1,
100542,.047079619,.042932849,.049743056,0,0,0,
100543,,.40000001,.40033209,1,0,0,
100544,,.20100001,.22825105,0,0,0,
100545,,.34999999,.12800001,0,0,1,
100546,,0,,0,0,0,
100547,,.25004026,.2534925,0,0,0,
100548,,,.45136669,0,0,0,
100549,.05935945,.11,.1018,0,1,0,593.59448
100550,,.099802911,.34502873,0,0,0,
100551,,,.36532426,0,0,0,
100552,,.77999997,,0,0,1,
100553,,.13442004,.36426497,1,0,0,
100554,.062396668,.086067818,.093000002,0,1,0,623.96667
100555,,.25999999,.36317852,2,0,1,
100556,,.17362444,.3059752,0,0,0,
100557,.067593455,.077196635,.14394027,0,1,0,675.93457
100558,,.227,.24677524,0,0,0,
100559,.047520082,.075000003,.077408291,2,1,0,475.20084
100560,,.31225547,,1,0,0,
100561,,.40000001,.28462702,0,0,0,
100562,,1,,2,0,1,
100563,,1,.49151945,1,0,0,
100564,.042434812,.075000003,1.1297789e-07,0,0,0,
100565,,.21351427,.25650001,1,0,1,
100566,,.28214818,.31791216,0,0,0,
100567,,.38,,0,0,0,
100568,.072315447,.2046881,,0,1,0,723.15448
100569,,.50199997,.4216592,1,0,1,
100570,.04224097,.12051148,.17251611,0,1,0,422.4097
100571,,.76855743,,0,0,1,
100572,,.41407478,,2,0,0,
100573,.045974653,.071288995,.27044362,0,1,0,459.74652
100574,,,,3,0,0,
100575,,.18520293,.09977781,0,0,0,
100576,,.046778396,.26633388,0,0,1,
100577,,.88999999,.30226183,0,0,1,
100578,.076457329,.24665819,.15688781,0,1,0,764.5733
100579,,.40000001,.18098439,1,0,0,
100580,.077216104,.037995607,.1543,3,0,0,
100581,,.21351427,.43759465,3,0,0,
100582,,.60782403,,3,0,0,
100583,,.2210938,.13359086,0,0,0,
100584,,.056129415,.14673299,3,0,1,
100585,,.52999997,.2689451,0,0,1,
100586,,.64898723,.20704746,0,0,0,
100587,,.22403423,,2,0,0,
100588,,.15908191,.31094006,0,0,1,
100589,,.69,.2757054,2,0,1,
100590,,.40000001,,0,0,0,
100591,,.082782738,.16760001,0,0,0,
100592,,.2,.084765784,1,0,0,
100593,,,,3,0,1,
100594,,.25422969,.27993053,0,0,0,
100595,,.61105239,.54119754,0,0,0,
100596,,.40000001,.25491703,0,0,0,
100597,,.25768802,.2125279,3,0,0,
100598,,.96193111,.20110001,1,0,0,
100599,,.27214816,,0,0,0,
100600,,0,,2,0,0,
100601,.050202813,.041576631,.061743375,0,0,0,
100602,,.22403423,,0,0,0,
100603,,.28214818,.52027011,0,0,1,
100604,,.30579346,,0,0,0,
100605,,.089420497,,2,0,0,
100606,,1,.58931613,0,0,0,
100607,,.15847181,.23998752,0,0,0,
100608,.039999999,.029704301,.089000002,0,0,0,
100609,,.38091454,.127,0,0,0,
100610,,.37400001,.41654825,0,0,0,
100611,,.30641165,.64172786,0,0,0,
100612,,.12396958,.123,3,0,1,
100613,,.90287942,.29899999,0,0,0,
100614,,.15000001,,0,0,0,
100615,,.10488028,.28189999,0,0,0,
100616,.076382697,.15908191,.35997903,0,1,0,763.82697
100617,.040078018,.02,,0,0,0,
100618,,0,,0,0,1,
100619,,.29133424,,0,0,0,
100620,,.1490819,.32857066,0,0,0,
100621,,.38314441,.18179254,0,0,1,
100622,.050953802,.051339492,.015277259,0,0,0,
100623,,,.28613698,1,0,0,
100624,.058919106,.15908191,.27782705,0,1,1,-10000
100625,,.2,.1024,0,0,0,
100626,,.88,.67066163,0,0,0,
100627,,.36707988,,1,0,1,
100628,.068925388,.23,.1824,0,1,0,689.25391
100629,,.76411492,.20640001,0,0,1,
100630,,.10591468,.26008156,1,0,1,
100631,,.15899999,.2577,1,0,0,
100632,,.15908191,.16526335,0,0,0,
100633,,.509,.53040534,0,0,1,
100634,,.075000003,.1979,2,0,0,
100635,,,.84077519,0,0,1,
100636,.050949983,.38091454,.28780001,0,1,0,509.49985
100637,,.11724936,,1,0,0,
100638,.04138286,.029999999,.070299998,0,0,0,
100639,,.52469677,.39550069,0,0,0,
100640,.057004709,.075000003,.00055414008,0,0,0,
100641,.091374032,.055467475,.1726,2,0,0,
100642,,.1490819,.109,0,0,0,
100643,,.22403423,.53109479,0,0,0,
100644,.039999999,.032987069,.03796516,0,0,0,
100645,.057221204,.13333778,.19339772,0,1,0,572.21204
100646,.042258091,.075000003,.090000004,0,1,0,422.5809
100647,.045524735,0,.093999997,0,0,0,
100648,,.40000001,.19888872,0,0,0,
100649,.063304737,.096040547,.116,1,1,0,633.04736
100650,,.25,.19768649,3,0,0,
100651,,,,3,0,0,
100652,,.1490819,.2315,0,0,0,
100653,,.40000001,.45514354,0,0,0,
100654,,.10303068,.14864373,0,0,0,
100655,,.40000001,.35505441,0,0,0,
100656,.060477857,.012,.024812441,0,0,0,
100657,,.78746355,.23510814,0,0,0,
100658,,.44712752,,0,0,0,
100659,,.39300001,.16889699,0,0,1,
100660,,.5,,0,0,0,
100661,,.40000001,.19239999,0,0,0,
100662,,.48912945,,1,0,0,
100663,,.22351426,.17523733,1,0,0,
100664,,.33234078,.47434929,0,0,0,
100665,.051760402,.053447705,.15943186,0,1,0,517.604
100666,,.076142907,.27532423,0,0,0,
100667,,.40000001,.25736159,0,0,0,
100668,,.40000001,.1981,3,0,0,
100669,,.10345682,.18880001,0,0,1,
100670,.080413282,.23403424,.19525971,2,1,0,804.13281
100671,,.057309452,.38991368,2,0,1,
100672,.051189709,.19,.15827288,0,1,0,511.89709
100673,,.40000001,.37010369,0,0,1,
100674,,,.228,2,0,0,
100675,,.11511852,.38911632,1,0,0,
100676,,.073054843,.046141967,1,0,1,
