,sex,employment,marital,income,social2,rate
57,1,employed,0,11887,0.31679177,
58,1,employed,0,23740,0.28638691,
59,0,retired,0,10901,0.0,
60,1,retired,1,9872,0.0,
61,0,employed,0,20679,0.55178767,0.07552750990031112
62,1,student,0,0,0.78437579,
63,0,unemployed,1,21281,0.83379292,0.041175984489718084
64,1,employed,0,8398,0.53458077,
65,0,employed,1,6257,0.019243274,
66,0,employed,1,16311,0.66704482,0.0719150821893613
67,1,employed,1,7802,0.45345086,
68,1,employed,1,31099,0.89453167,0.04564675152930277
69,1,employed,1,6773,0.0,
70,1,employed,1,31490,0.0,0.08927210379624172
71,1,employed,1,49560,0.0,0.0407336639794083
72,1,employed,1,1000000,0.35962188,0.040229861829324094
73,1,unemployed,0,25512,0.088609777,0.05379086416100417
74,0,employed,0,17074,0.83891386,
75,1,student,0,12108,0.93886101,
76,0,unemployed,1,12582,0.27068529,
77,1,employed,0,10174,0.8294757,
78,0,student,1,0,0.98208416,
79,1,employed,0,16501,0.5952884,
80,1,employed,1,115449,0.0,0.040030089864033065
81,1,employed,1,7954,0.0,
82,1,student,0,7892,0.0,
83,1,student,0,0,0.55668646,
84,1,employed,1,6512,0.60566956,
85,1,employed,1,18044,0.0,
86,0,employed,1,13787,0.31327933,
87,1,employed,1,8305,0.0,
88,1,unemployed,1,16153,0.51060241,
89,0,employed,1,4696,0.64530295,
90,0,unemployed,1,0,0.54079497,
91,0,retired,0,11937,0.1238569,
92,1,employed,1,264776,0.0,0.04
93,1,student,0,0,0.41291264,
94,1,employed,1,14234,0.52939641,
95,0,student,0,0,0.79283369,
96,1,employed,1,30935,0.098801933,
97,1,employed,1,208494,0.66014546,0.04178501082499121
98,1,student,0,0,0.50272793,
99,1,employed,1,44569,0.42385018,
100,1,retired,1,18208,0.0,0.0811120596537839
101,1,unemployed,1,0,0.0,
102,1,retired,1,43278,0.0073495694,0.06072841735932591
103,0,employed,0,55856,0.58055586,0.08217811702409678
104,0,employed,1,14406,0.5119406,
105,0,employed,1,33248,0.18224759,0.07822186050215102
106,0,unemployed,1,0,0.74894983,
107,1,student,0,0,0.70451581,
108,1,employed,1,22713,0.27182287,
109,0,employed,0,10361,0.72351402,0.08471650214547466
110,0,employed,1,43985,0.0,0.04075845345030489
111,0,employed,1,29526,0.0,0.06220338238482134
112,1,student,1,0,0.87956142,
113,0,unemployed,0,41214,0.64432627,0.04119507729861676
114,1,employed,1,67604,0.58570111,0.04008756335422537
115,0,employed,1,23683,0.67247587,
116,1,employed,0,5370,0.76392692,
117,1,employed,0,16681,0.51828808,0.08267929675661082
118,0,employed,1,6017,0.11951188,
119,1,employed,1,9639,0.14656146,
120,1,employed,1,19903,0.64206016,
121,1,retired,1,16951,0.33399153,0.04514542896474041
122,0,employed,0,10425,0.58210158,
123,1,employed,1,24500,0.0,0.07530850659210736
124,1,employed,0,12492,0.09245865,
125,1,employed,1,8871,0.76370573,
126,1,employed,1,7347,0.26962429,
127,1,employed,1,7059,0.5960421,
128,0,unemployed,1,14337,0.0,0.04859449972079029
129,1,employed,1,14674,0.6907317,
130,0,unemployed,1,0,0.4333058,
131,1,student,0,7625,0.82729936,
132,1,employed,1,27424,0.95564795,0.053534043272420145
133,0,employed,0,6634,0.71517241,
134,1,employed,1,12745,0.9104014,0.08396552501609326
135,1,unemployed,1,45956,0.59410083,
136,1,employed,1,78372,0.74647033,0.040012500156251955
137,0,retired,1,6859,0.0,0.08119099441562458
138,1,employed,0,47300,0.59060949,0.04059957400237714
139,0,employed,0,25458,0.0,0.06336086204612805
140,1,student,1,0,0.74754024,
141,1,employed,1,6198,0.17831887,
142,0,employed,1,19132,0.0,
143,1,employed,1,10880,0.76882136,
144,0,student,1,0,0.31297714,
145,1,employed,1,10110,0.37308803,
146,1,employed,1,8633,0.0,
147,1,employed,1,9402,0.87703347,
148,1,retired,1,10499,0.23311046,
149,0,employed,1,9080,0.0,
150,1,employed,1,5693,0.0,
151,1,student,0,0,0.03932783,
152,0,unemployed,1,22370,0.62992007,0.04837915056061079
153,1,employed,1,7582,0.39269307,
154,1,employed,0,20816,0.84791803,0.059488232063620534
155,1,student,0,0,0.92243218,
156,1,employed,1,6975,0.0,
157,1,unemployed,1,36602,0.84223264,0.04653126957144135
158,1,employed,1,11457,0.53490674,
159,1,employed,0,6716,0.0,
160,1,employed,1,9424,0.29938737,
161,1,employed,1,11658,0.0,
162,1,employed,0,8877,0.70860749,
163,1,employed,1,17452,0.99381107,
164,1,employed,1,1000000,0.07555566,0.04003773727310465
165,0,employed,1,8162,0.0,
166,1,employed,0,8404,0.0,
167,1,employed,1,41261,0.67631143,0.08929561328663155
168,1,employed,1,9044,0.049788598,
169,0,retired,1,5716,0.31082994,
170,0,unemployed,1,6682,0.86876124,
171,1,employed,1,6667,0.0,
172,1,student,0,7709,0.7912159,0.055730757785716005
173,1,employed,1,7394,0.0,
174,1,employed,1,45317,0.0,0.04957755310695548
175,0,student,0,0,0.94323969,
176,0,unemployed,0,7450,0.0,
177,1,unemployed,0,0,0.0,
178,1,student,0,0,0.89463639,
179,1,employed,0,15371,0.98998487,
180,0,employed,1,15395,0.94719654,
181,1,unemployed,0,0,0.0,
182,1,employed,0,18085,0.57058442,
183,1,retired,1,29013,0.0,0.06598229106345296
184,1,employed,1,9797,0.0,
185,0,employed,1,15347,0.69356906,
186,1,employed,0,27497,0.44544077,
187,1,employed,1,20747,0.51263022,
188,1,employed,0,13902,0.34541237,
189,1,employed,1,21009,0.79418564,0.09034015748979365
190,0,unemployed,0,74051,0.90175188,0.043722899481714
191,1,employed,0,7093,0.59278947,
192,1,employed,1,17232,0.90109712,
193,1,employed,0,8509,0.0,
194,1,employed,1,13245,0.50080109,
195,1,employed,1,9980,0.50991005,
196,0,employed,0,21077,0.56625056,
197,1,employed,0,10528,0.74821162,
198,0,unemployed,0,0,0.0,
199,1,employed,0,5467,0.34239143,
200,1,employed,1,10062,0.16453032,
201,1,student,0,3598,0.83877569,
202,1,student,0,0,0.91904068,
203,1,employed,0,34612,0.0,0.04240970455091331
204,1,employed,1,8865,0.0,
205,0,employed,1,73553,0.66245008,0.08049221193818451
206,1,student,0,10642,0.0,
207,1,retired,0,3613,0.0081254831,
208,1,student,0,2646,0.76880729,
209,1,employed,0,19005,0.6593731,0.06062559547847271
210,1,unemployed,0,14321,0.60150862,
211,1,student,0,0,0.68726611,
212,0,student,0,0,0.47366437,
213,0,employed,1,13732,0.83606911,
214,0,employed,0,13058,0.41105372,
215,1,employed,0,22018,0.52756315,
216,0,retired,0,3667,0.2523191,
217,1,employed,0,38401,0.30152828,0.06630926423786429
218,1,employed,0,21900,0.47273293,
219,1,employed,1,7045,0.089029387,
220,0,retired,0,4294,0.23508725,
221,1,employed,0,13057,0.52123863,
222,1,employed,0,23997,0.63800496,
223,1,employed,1,7117,0.35240638,
224,1,student,0,5431,0.0,0.06119103042922709
225,1,employed,1,12236,0.0,
226,1,employed,1,8457,0.0,
227,1,student,0,0,0.85151386,
228,1,employed,1,57407,0.58233297,0.04817834200815925
229,1,employed,1,17733,0.0,
230,1,employed,0,33548,0.0,0.04425397731233724
231,1,employed,1,5664,0.0,
232,0,employed,1,47492,0.0,0.057946446769904805
233,0,retired,1,34059,0.072888389,0.0589866011982873
234,1,employed,1,12781,0.96642524,0.0831936996647364
235,1,employed,1,8134,0.96490669,
236,1,student,0,0,0.83575374,
237,1,retired,0,6229,0.0038930229,
238,1,retired,1,6060,0.0,0.09077782343361003
239,0,employed,1,5707,0.0,
240,1,employed,1,18307,0.27231863,
241,1,employed,1,11115,0.14106274,
242,1,employed,0,18671,0.34976897,
243,0,employed,1,8706,0.0,
244,1,employed,1,10344,0.81609929,
245,1,retired,0,5454,0.1114687,
246,1,employed,0,10754,0.54661942,
247,1,employed,1,11258,0.26933953,
248,1,employed,1,8567,0.59138238,
249,0,employed,1,328019,0.2697314,0.04108835984228072
250,1,unemployed,0,0,0.0,
251,1,employed,1,55206,0.010922081,0.05992998649051994
252,0,employed,0,5703,0.80584955,
253,1,employed,1,10011,0.0,
254,1,student,0,0,0.083951533,
255,0,employed,1,4950,0.77925891,
256,1,employed,1,11900,0.51058978,
257,1,employed,1,10646,0.45620176,
258,0,employed,0,80323,0.15458505,0.04352809654752579
259,1,retired,1,5246,0.046935432,
260,1,student,0,0,0.9275431,
261,1,employed,1,23940,0.47982895,0.0776948776217781
262,0,retired,0,816,0.01318685,
263,0,employed,0,11340,0.29596472,
264,1,employed,0,12543,0.32218283,
265,0,unemployed,1,0,0.24051417,
266,0,employed,0,9577,0.0,0.06382661133438769
267,1,employed,1,17442,0.71231985,0.07946911983100576
268,1,retired,0,9247,0.0,
269,1,employed,1,6286,0.61945504,
270,1,employed,1,7673,0.7361877,
271,0,employed,0,10743,0.50323808,
272,1,unemployed,1,6567,0.33940357,
273,0,employed,1,29082,0.67271799,
274,1,employed,0,13016,0.0,
275,0,unemployed,1,8099,0.82030052,
276,1,retired,1,3852,0.36713818,
277,1,employed,1,5255,0.84463239,
278,0,unemployed,1,0,0.90828902,
279,1,unemployed,0,8505,0.81932342,
280,1,employed,0,8286,0.59657216,
281,0,employed,1,7807,0.57547253,
282,0,student,0,106090,0.44900614,0.041945864728132935
283,1,student,0,0,0.23234066,
284,1,employed,1,26586,0.0,0.08098145713670388
285,1,employed,0,9016,0.633479,
286,1,employed,1,7180,0.87189776,
287,1,employed,1,6770,0.51721901,
288,1,student,0,17592,0.9474082,0.040333444481493834
289,0,employed,1,7995,0.16300559,
290,0,employed,1,5627,0.0,
291,1,student,0,0,0.80903977,
292,0,retired,1,2126,0.27749279,
293,0,employed,1,28187,0.56054127,0.04570439197814011
294,0,retired,0,22361,0.23696765,
295,1,employed,0,6603,0.58572352,
296,1,retired,0,18529,0.0,
297,1,unemployed,1,6760,0.51078331,
298,1,employed,1,15058,0.71915412,
299,0,employed,1,6738,0.90890157,
300,1,student,0,7933,0.76625997,
301,0,employed,1,8071,0.0,
302,1,employed,1,10512,0.4080767,
303,1,student,1,6987,0.84857744,
304,1,student,0,9218,0.93951619,0.08316236634192471
305,1,employed,1,7450,0.77206987,
306,1,retired,1,14724,0.0,
307,1,retired,0,11302,0.0,
308,1,student,0,0,0.81661689,
309,1,student,0,6254,0.46262497,
310,1,employed,1,22986,0.0,0.08036572004683748
311,0,employed,1,5826,0.49248031,
312,1,employed,1,15784,0.65046138,
313,1,employed,0,7101,0.0,
314,0,employed,1,4705,0.81180859,
315,0,student,0,6229,0.83646327,
316,0,employed,0,6048,0.0,
317,1,employed,0,17207,0.56313843,0.06381008051056833
318,1,student,0,34501,0.84468311,0.04
319,1,employed,1,9448,0.52935779,
320,0,student,1,19462,0.87437624,0.04
321,1,employed,1,8331,0.0,
322,1,employed,1,222016,0.0,0.04
323,1,retired,1,11338,0.19921456,
324,1,employed,1,6496,0.0,
325,0,employed,1,16603,0.16802941,
326,1,employed,1,161394,0.55870593,0.04111234705228031
327,1,employed,1,14268,0.50899005,
328,1,employed,1,13890,0.0,
329,1,employed,1,14830,0.2675105,
330,0,student,0,0,0.24339847,
331,0,employed,1,118676,0.36102548,0.04694503706365841
332,1,employed,1,27891,0.018004404,
333,1,employed,1,6149,0.79980433,
334,1,unemployed,1,8554,0.78689373,
335,1,employed,1,30628,0.693174,0.0552481712771817
336,1,employed,1,71815,0.83850157,0.049137689265460395
337,1,employed,1,7279,0.60401177,
338,1,employed,1,6220,0.16742857,
339,1,employed,0,11319,0.98167706,
340,1,employed,1,16289,0.0,
341,1,employed,1,15037,0.0,0.07887877678606912
342,1,student,0,12863,0.76040316,
343,1,employed,1,27886,0.62707031,0.05813315951308977
344,1,employed,1,7993,0.86585516,
345,1,employed,1,10855,0.0,
346,1,employed,0,16487,0.0,
347,1,unemployed,1,28597,0.59524542,
348,1,employed,1,50458,0.63748759,0.0411620208085926
349,0,employed,0,9776,0.50525558,
350,1,student,0,0,0.86153132,
351,0,employed,0,55070,0.52006239,
352,1,employed,0,9360,0.98670477,
353,1,employed,0,8523,0.71421087,
354,0,employed,0,12648,0.53064138,
355,1,unemployed,1,0,0.77906889,
356,1,employed,1,11861,0.86551648,
357,1,employed,1,37887,0.0,0.06762386101834969
358,1,employed,1,112740,0.51033533,0.04038261677744596
359,1,employed,1,13439,0.24227156,
360,0,employed,1,7023,0.60379946,
361,1,retired,1,8919,0.0,
362,1,employed,0,12643,0.76748145,
363,1,employed,0,21570,0.0,0.07430578661875435
364,1,student,0,2708,0.54847521,
365,1,student,1,0,0.9506954,0.07002524509352596
366,1,employed,1,78176,0.60648471,0.04129140284460475
367,1,student,0,0,0.86797488,
368,0,employed,1,64777,0.60540265,0.07846777098521832
369,1,employed,1,49579,0.59023654,0.040245229847933266
370,1,employed,0,9103,0.74617547,
371,1,student,0,14401,0.0,0.0907813609200929
372,1,employed,1,7151,0.0,
373,0,employed,1,26343,0.0,0.04952256444740336
374,0,employed,1,7388,0.0,
375,0,unemployed,0,0,0.0,
376,0,unemployed,1,0,0.0,
377,1,student,0,0,0.0,
378,0,unemployed,1,0,0.37244472,
379,1,employed,1,5998,0.13557342,
380,1,employed,0,5966,0.013373924,
381,1,unemployed,0,0,0.53009671,
382,0,employed,0,10356,0.21203163,
383,1,employed,0,12372,0.0,
384,0,unemployed,1,0,0.0,
385,0,retired,1,1431,0.0,
386,1,employed,0,17671,0.5593009,
387,1,unemployed,0,9775,0.2690632,
388,1,employed,0,176197,0.60120672,0.04
389,1,unemployed,1,6473,0.07614617,
390,0,unemployed,0,69719,0.0,0.04
391,1,employed,1,18606,0.82386726,
392,1,retired,0,6000,0.162139,
393,0,unemployed,0,8129,0.58454061,
394,0,employed,1,4721,0.53152186,
395,0,employed,1,36404,0.25404784,0.05152716887248625
396,1,student,0,0,0.034866892,
397,1,student,0,30299,0.80932379,0.04
398,1,unemployed,0,0,0.0,
399,1,employed,1,11921,0.54021871,
400,1,employed,1,39999,0.0,
401,1,unemployed,1,0,0.83207673,
402,0,student,0,0,0.92705369,
403,0,employed,1,5340,0.70859629,
404,1,employed,1,11197,0.70205319,
405,1,employed,1,11632,0.56813031,
406,1,student,0,0,0.96245056,
407,1,unemployed,1,0,0.58597547,
408,1,employed,0,12255,0.80293727,
409,1,employed,1,14064,0.1571089,
410,1,employed,0,8125,0.03031615,
411,1,student,0,0,0.93925905,
412,1,retired,1,24029,0.0,0.04272041141801226
413,1,employed,1,8866,0.10698313,
414,0,employed,0,10173,0.79104841,
415,1,employed,0,20723,0.50263768,0.08806459808218031
416,1,employed,0,15807,0.0,
417,1,employed,1,26017,0.61479872,
418,1,employed,1,12408,0.30976346,
419,1,employed,0,12873,0.55277747,
420,1,employed,1,29751,0.46402717,0.07381127653301242
421,1,retired,0,4121,0.0,
422,1,employed,0,5313,0.8498053,
423,0,employed,0,6381,0.0,
424,1,employed,0,17389,0.87024432,0.07813529023128066
425,0,employed,1,16530,0.64552766,0.059606858083346634
426,1,employed,1,9600,0.59848917,
427,1,employed,0,9645,0.0,
428,1,employed,1,5511,0.51534891,
429,1,employed,1,50212,0.69824612,0.04033627349475364
430,1,employed,1,7325,0.84374845,
431,1,unemployed,1,10673,0.57602078,
432,0,unemployed,0,10474,0.23466654,
433,1,employed,1,9892,0.70197743,
434,0,student,0,4033,0.0,
435,0,employed,1,7326,0.56918514,
436,1,student,0,0,0.83409411,
437,1,employed,1,10869,0.52661669,
438,0,student,0,46710,0.92853528,0.045878072772448174
439,1,retired,1,5243,0.0,
440,1,employed,1,14319,0.79364038,
441,1,employed,0,10943,0.72851121,
442,1,employed,1,92758,0.56151825,0.04
443,1,employed,0,18426,0.0,
444,0,retired,1,7742,0.37503451,
445,1,employed,0,9015,0.42829201,
446,1,employed,0,14224,0.0,
447,1,employed,1,5615,0.69934362,
448,0,employed,0,25826,0.0,0.06208070617609607
449,1,employed,1,22594,0.86593771,
450,0,employed,0,8044,0.7824086,
451,0,student,0,0,0.0,
452,0,student,0,0,0.90062141,
453,1,employed,1,9182,0.5210191,
454,1,student,0,14147,0.95736289,
455,1,employed,0,28473,0.0,0.04949498491969389
456,0,student,0,3094,0.0,
457,1,retired,1,35701,0.22766832,
458,1,student,0,0,0.83411843,
459,1,unemployed,1,0,0.0,
460,1,unemployed,1,0,0.76391417,
461,0,employed,1,5505,0.70326596,
462,0,retired,1,3678,0.33024073,
463,1,employed,1,13909,0.0,
464,1,employed,1,6417,0.43376353,
465,0,student,1,13146,0.88199794,0.048744913013129776
466,1,employed,1,11218,0.0,
467,0,student,0,0,0.14827065,
468,0,employed,1,8660,0.59228325,
469,1,student,0,0,0.81069219,
470,1,student,0,0,0.94074219,
471,1,employed,1,7894,0.30681425,
472,1,employed,1,13772,0.0,
473,1,employed,1,14532,0.87987494,0.08175977204857027
474,0,student,0,6480,0.8435514,
475,0,unemployed,1,6035,0.62392473,
476,1,employed,1,22428,0.84864438,
477,1,employed,1,54423,0.40755838,0.06675145102222255
478,1,employed,1,59619,0.62404209,0.05580139191713958
479,1,employed,0,20187,0.0,0.0661591964539308
480,0,student,0,35943,0.8108201,0.05447615470363856
481,1,employed,1,7525,0.7902422,
482,0,student,0,0,0.86459315,
483,0,employed,1,4796,0.92677796,
484,1,employed,0,7138,0.49155018,
485,1,retired,0,4226,0.016010704,
486,1,unemployed,1,0,0.0,
487,1,unemployed,1,0,0.0,
488,1,employed,1,12785,0.0,
489,0,unemployed,0,0,0.0,
490,1,employed,1,21029,0.58353996,
491,1,employed,0,80358,0.016944224,0.07267092470238651
492,1,student,0,0,0.83579248,
493,1,student,1,0,0.83083934,
494,1,employed,1,10136,0.0,
495,1,employed,0,43575,0.49016395,0.08265853860126315
496,1,employed,1,8359,0.0,
497,1,employed,1,53400,0.0,0.04136596589843266
498,0,unemployed,1,11938,0.0,
499,1,employed,0,8727,0.98002857,
500,1,employed,1,15789,0.0,
501,1,employed,1,15538,0.22094423,
502,1,employed,1,6601,0.73940003,
503,1,employed,1,21328,0.015934018,
504,1,retired,1,4831,0.28048009,
505,1,employed,1,209636,0.75019252,0.040107291203654034
506,1,retired,1,4832,0.0018067606,
507,1,student,0,0,0.9729352,
508,1,employed,1,14256,0.86107051,
509,0,student,0,0,0.9765178,
510,1,employed,1,38442,0.013711551,
511,0,employed,1,8110,0.52617329,
512,1,employed,1,27318,0.12783627,0.08517291556611217
513,1,employed,0,27403,0.045429379,
514,0,employed,1,4216,0.37352276,
515,1,employed,1,170090,0.82146102,0.04029257952447108
516,1,employed,0,54124,0.30273548,0.08580811818789436
517,0,employed,1,7490,0.0,
518,1,employed,1,10724,0.0,
519,1,student,0,83185,0.99714959,0.04084026589356339
520,1,employed,1,15566,0.19901992,
521,0,employed,0,19907,0.52651364,
522,1,student,0,0,0.86604321,
523,0,employed,1,17797,0.60769385,
524,0,employed,1,17141,0.51268196,
525,1,employed,1,7271,0.54112595,
526,1,employed,0,36200,0.73032272,0.0614277953903542
527,1,employed,0,27387,0.42162558,
528,1,employed,1,9858,0.8350516,
529,1,employed,0,8295,0.66075993,
530,0,employed,0,10221,0.50992411,
531,1,student,0,27161,0.22536691,0.055329194788001926
532,1,employed,1,57870,0.61807126,0.04044881135542945
533,1,employed,0,11156,0.36667708,
534,1,employed,0,7132,0.65109009,
535,0,employed,1,6594,0.71263313,
536,1,employed,1,10971,0.0,
537,1,employed,1,140672,0.81814331,0.04061443665507934
538,0,employed,1,5090,0.17244652,
539,1,employed,1,10082,0.60815132,
540,1,unemployed,1,0,0.28319973,
541,1,employed,1,47819,0.0,0.047079617509195315
542,1,retired,1,4320,0.0,
543,1,employed,1,13841,0.50574595,
544,0,employed,1,8786,0.29696435,
545,1,employed,0,5479,0.80088276,
546,1,employed,1,9203,0.28287899,
547,1,employed,1,7323,0.55688834,
548,1,student,0,12662,0.69782215,0.059359450480194476
549,0,unemployed,1,11472,0.23897251,
550,1,employed,1,8334,0.17582484,
551,0,unemployed,1,0,0.0,
552,1,retired,0,5667,0.25430813,
553,1,student,0,17553,0.75016099,0.062396669213456504
554,0,unemployed,1,8168,0.1623996,
555,1,employed,1,13709,0.0,
556,1,employed,0,25385,0.5109058,0.0675934582721481
557,1,employed,0,12784,0.57484251,
558,1,retired,0,29290,0.31719202,0.04752008396692131
559,1,employed,1,7794,0.0,
560,1,unemployed,1,8612,0.46009657,
561,1,student,0,0,0.76385444,
562,1,student,0,0,0.059754148,
563,1,employed,1,169095,0.39337796,0.04243481076779296
564,1,employed,1,17939,0.77403784,
565,1,employed,1,11375,0.57985282,
566,1,retired,1,8349,0.0,
567,1,unemployed,1,13534,0.0,0.07231544896335294
568,0,unemployed,0,5943,0.69762629,
569,1,employed,0,33163,0.0,0.0422409683549456
570,1,unemployed,1,0,0.62735486,
571,1,employed,1,6734,0.66444981,
572,0,employed,0,38739,0.73859912,0.045974654381867486
573,1,student,0,0,0.97693002,
574,1,employed,1,16473,0.0,
575,0,employed,1,9917,0.020384409,
576,1,student,0,0,0.83787763,
577,1,employed,0,14030,0.8589983,0.07645732582104134
578,1,employed,1,7424,0.98159361,
579,1,employed,1,26421,0.0,0.07721610363233058
580,0,employed,1,11117,0.54266018,
581,1,employed,1,6804,0.57687521,
582,0,retired,1,11034,0.085539207,
583,1,employed,1,15757,0.76075339,
584,1,employed,1,5472,0.54722357,
585,1,employed,0,6082,0.14855821,
586,1,student,0,0,0.25162488,
587,1,employed,1,9543,0.0,
588,1,retired,0,658,0.24674371,
589,0,retired,0,4474,0.0,
590,1,employed,1,18225,0.63598794,
591,1,employed,1,26706,0.81567347,
592,0,student,0,0,0.040501025,
593,1,employed,0,8415,0.53618789,
594,1,employed,1,6926,0.84729147,
595,1,retired,1,11073,0.3834531,
596,1,employed,1,9264,0.0,
597,0,employed,0,7809,0.10713095,
598,1,student,0,0,0.25192773,
599,1,student,0,0,0.87637949,
600,1,unemployed,1,24876,0.55341995,0.0502028129592748
601,1,student,1,0,0.98201096,
602,1,employed,1,7391,0.62012035,
603,1,student,0,0,0.88079637,
604,0,employed,1,4669,0.32636485,
605,0,unemployed,1,0,0.74765259,
606,0,employed,0,11839,0.74664134,
607,1,employed,1,161067,0.0,0.04
608,1,employed,0,8075,0.63678867,
609,1,employed,0,8487,0.6840958,
610,1,student,0,0,0.92571908,
611,1,employed,1,8964,0.53713971,
612,0,employed,1,4586,0.59639871,
613,1,employed,1,27295,0.54961145,
614,1,employed,1,7879,0.50913233,
615,1,unemployed,0,13358,0.0,0.07638270002558528
616,1,employed,1,70687,0.0,0.04007801855430796
617,0,unemployed,0,0,0.41563562,
618,1,employed,1,12337,0.0,
619,1,employed,1,8951,0.58304673,
620,1,employed,1,10505,0.2617268,
621,0,employed,0,42942,0.13952321,0.05095380019645687
622,1,student,0,0,0.94331616,
623,0,employed,0,28936,0.18008485,0.05891910591540665
624,1,unemployed,1,20400,0.52128077,
625,0,student,0,0,0.77818751,
626,1,student,0,0,0.73661661,
627,1,unemployed,0,16581,0.0,0.06892538616988547
628,1,employed,1,6595,0.92713124,
629,0,employed,1,8898,0.31372645,
630,1,employed,0,15877,0.0,
631,1,employed,1,19395,0.0,
632,1,unemployed,1,5824,0.84280741,
633,0,employed,1,92315,0.0,
634,1,student,0,0,0.0,
635,0,employed,0,20839,0.58028281,0.05094998402277053
636,1,employed,1,5267,0.51264852,
637,1,student,0,39584,0.10469896,0.04138286204758953
638,1,retired,0,5998,0.0,
639,0,employed,1,79248,0.54260951,0.05700470944055054
640,1,employed,1,26606,0.74171203,0.0913740288257259
641,1,employed,1,13455,0.61639941,
642,1,student,0,0,0.99037921,
643,1,employed,1,160121,0.58910435,0.04
644,1,unemployed,1,33743,0.77511382,0.05722120267692109
645,1,employed,0,549501,0.18196167,0.04225808955082652
646,1,employed,0,87754,0.76389956,0.045524736801065016
647,0,student,0,4894,0.97888362,
648,1,employed,1,30610,0.90182251,0.06330474018192467
649,1,employed,1,9626,0.044577926,
650,1,student,0,0,0.38925362,
651,1,employed,1,30619,0.74863487,
652,1,employed,1,8981,0.48305371,
653,1,employed,1,24974,0.59525913,
654,1,unemployed,1,5800,0.50913531,
655,1,employed,0,38131,0.0,0.0604778554003718
656,1,retired,1,4695,0.0,
657,1,retired,0,5078,0.38386625,
658,1,employed,0,8063,0.23580621,
659,0,retired,0,1987,0.0,
660,1,employed,1,6629,0.52231199,
661,0,unemployed,1,0,0.14571083,
662,1,employed,1,11472,0.58501852,
663,0,employed,1,5146,0.68711394,
664,1,employed,0,30058,0.0,0.05176040203926823
665,1,employed,0,14584,0.56677955,
666,1,employed,0,12238,0.60956055,
667,0,employed,1,10530,0.3011497,
668,0,employed,1,7199,0.0,
669,0,unemployed,1,17609,0.55046737,0.08041327976920429
670,1,employed,1,9968,0.26162598,
671,1,employed,0,21880,0.68939084,0.05118971128360035
672,1,employed,1,5444,0.75995779,
673,0,employed,1,4947,0.83457255,
674,1,retired,0,3980,0.2107884,
675,1,employed,0,66542,0.27740639,
676,1,retired,1,7149,0.26273361,
677,1,student,0,20779,0.84671283,0.04002649076796736
678,1,employed,0,12021,0.36700258,
679,0,unemployed,0,0,0.51403064,
680,0,student,0,0,0.99331725,
681,1,employed,1,9262,0.3116093,
682,0,employed,1,13815,0.84297824,
683,0,retired,1,6172,0.35806245,
684,1,employed,0,9652,0.75050139,
685,0,employed,1,59799,0.53002721,0.05360634213940393
686,1,employed,1,8963,0.63394469,
687,1,employed,1,5726,0.0,
688,1,employed,1,9399,0.0,
689,1,retired,1,11523,0.21402772,
690,0,student,0,3775,0.80635583,
