id,sex,employment,marital,income,social2
100511,1,employed,1,38442,.013711551
100512,0,employed,1,8110,.52617329
100513,1,employed,1,27318,.12783627
100514,1,employed,0,27403,.045429379
100515,0,employed,1,4216,.37352276
100516,1,employed,1,170090,.82146102
100517,1,employed,0,54124,.30273548
100518,0,employed,1,7490,0
100519,1,employed,1,10724,0
100520,1,student,0,83185,.99714959
100521,1,employed,1,15566,.19901992
100522,0,employed,0,19907,.52651364
100523,1,student,0,0,.86604321
100524,0,employed,1,17797,.60769385
100525,0,employed,1,17141,.51268196
100526,1,employed,1,7271,.54112595
100527,1,employed,0,36200,.73032272
100528,1,employed,0,27387,.42162558
100529,1,employed,1,9858,.8350516
100530,1,employed,0,8295,.66075993
100531,0,employed,0,10221,.50992411
100532,1,student,0,27161,.22536691
100533,1,employed,1,57870,.61807126
100534,1,employed,0,11156,.36667708
100535,1,employed,0,7132,.65109009
100536,0,employed,1,6594,.71263313
100537,1,employed,1,10971,0
100538,1,employed,1,140672,.81814331
100539,0,employed,1,5090,.17244652
100540,1,employed,1,10082,.60815132
100541,1,unemployed,1,0,.28319973
100542,1,employed,1,47819,0
100543,1,retired,1,4320,0
100544,1,employed,1,13841,.50574595
100545,0,employed,1,8786,.29696435
100546,1,employed,0,5479,.80088276
100547,1,employed,1,9203,.28287899
100548,1,employed,1,7323,.55688834
100549,1,student,0,12662,.69782215
100550,0,unemployed,1,11472,.23897251
100551,1,employed,1,8334,.17582484
100552,0,unemployed,1,0,0
100553,1,retired,0,5667,.25430813
100554,1,student,0,17553,.75016099
100555,0,unemployed,1,8168,.1623996
100556,1,employed,1,13709,0
100557,1,employed,0,25385,.5109058
100558,1,employed,0,12784,.57484251
100559,1,retired,0,29290,.31719202
100560,1,employed,1,7794,0
100561,1,unemployed,1,8612,.46009657
100562,1,student,0,0,.76385444
100563,1,student,0,0,.059754148
100564,1,employed,1,169095,.39337796
100565,1,employed,1,17939,.77403784
100566,1,employed,1,11375,.57985282
100567,1,retired,1,8349,0
100568,1,unemployed,1,13534,0
100569,0,unemployed,0,5943,.69762629
100570,1,employed,0,33163,0
100571,1,unemployed,1,0,.62735486
100572,1,employed,1,6734,.66444981
100573,0,employed,0,38739,.73859912
100574,1,student,0,0,.97693002
100575,1,employed,1,16473,0
100576,0,employed,1,9917,.020384409
100577,1,student,0,0,.83787763
100578,1,employed,0,14030,.8589983
100579,1,employed,1,7424,.98159361
100580,1,employed,1,26421,0
100581,0,employed,1,11117,.54266018
100582,1,employed,1,6804,.57687521
100583,0,retired,1,11034,.085539207
100584,1,employed,1,15757,.76075339
100585,1,employed,1,5472,.54722357
100586,1,employed,0,6082,.14855821
100587,1,student,0,0,.25162488
100588,1,employed,1,9543,0
100589,1,retired,0,658,.24674371
100590,0,retired,0,4474,0
100591,1,employed,1,18225,.63598794
100592,1,employed,1,26706,.81567347
100593,0,student,0,0,.040501025
100594,1,employed,0,8415,.53618789
100595,1,employed,1,6926,.84729147
100596,1,retired,1,11073,.3834531
100597,1,employed,1,9264,0
100598,0,employed,0,7809,.10713095
100599,1,student,0,0,.25192773
100600,1,student,0,0,.87637949
100601,1,unemployed,1,24876,.55341995
100602,1,student,1,0,.98201096
100603,1,employed,1,7391,.62012035
100604,1,student,0,0,.88079637
100605,0,employed,1,4669,.32636485
100606,0,unemployed,1,0,.74765259
100607,0,employed,0,11839,.74664134
100608,1,employed,1,161067,0
100609,1,employed,0,8075,.63678867
100610,1,employed,0,8487,.6840958
100611,1,student,0,0,.92571908
100612,1,employed,1,8964,.53713971
100613,0,employed,1,4586,.59639871
100614,1,employed,1,27295,.54961145
100615,1,employed,1,7879,.50913233
100616,1,unemployed,0,13358,0
100617,1,employed,1,70687,0
100618,0,unemployed,0,0,.41563562
100619,1,employed,1,12337,0
100620,1,employed,1,8951,.58304673
100621,1,employed,1,10505,.2617268
100622,0,employed,0,42942,.13952321
100623,1,student,0,0,.94331616
100624,0,employed,0,28936,.18008485
100625,1,unemployed,1,20400,.52128077
100626,0,student,0,0,.77818751
100627,1,student,0,0,.73661661
100628,1,unemployed,0,16581,0
100629,1,employed,1,6595,.92713124
100630,0,employed,1,8898,.31372645
100631,1,employed,0,15877,0
100632,1,employed,1,19395,0
100633,1,unemployed,1,5824,.84280741
100634,0,employed,1,92315,0
100635,1,student,0,0,0
100636,0,employed,0,20839,.58028281
100637,1,employed,1,5267,.51264852
100638,1,student,0,39584,.10469896
100639,1,retired,0,5998,0
100640,0,employed,1,79248,.54260951
100641,1,employed,1,26606,.74171203
100642,1,employed,1,13455,.61639941
100643,1,student,0,0,.99037921
100644,1,employed,1,160121,.58910435
100645,1,unemployed,1,33743,.77511382
100646,1,employed,0,549501,.18196167
100647,1,employed,0,87754,.76389956
100648,0,student,0,4894,.97888362
100649,1,employed,1,30610,.90182251
100650,1,employed,1,9626,.044577926
100651,1,student,0,0,.38925362
100652,1,employed,1,30619,.74863487
100653,1,employed,1,8981,.48305371
100654,1,employed,1,24974,.59525913
100655,1,unemployed,1,5800,.50913531
100656,1,employed,0,38131,0
100657,1,retired,1,4695,0
100658,1,retired,0,5078,.38386625
100659,1,employed,0,8063,.23580621
100660,0,retired,0,1987,0
100661,1,employed,1,6629,.52231199
100662,0,unemployed,1,0,.14571083
100663,1,employed,1,11472,.58501852
100664,0,employed,1,5146,.68711394
100665,1,employed,0,30058,0
100666,1,employed,0,14584,.56677955
100667,1,employed,0,12238,.60956055
100668,0,employed,1,10530,.3011497
100669,0,employed,1,7199,0
100670,0,unemployed,1,17609,.55046737
100671,1,employed,1,9968,.26162598
100672,1,employed,0,21880,.68939084
100673,1,employed,1,5444,.75995779
100674,0,employed,1,4947,.83457255
100675,1,retired,0,3980,.2107884
100676,1,employed,0,66542,.27740639
100677,1,retired,1,7149,.26273361
100678,1,student,0,20779,.84671283
100679,1,employed,0,12021,.36700258
100680,0,unemployed,0,0,.51403064
100681,0,student,0,0,.99331725
100682,1,employed,1,9262,.3116093
100683,0,employed,1,13815,.84297824
100684,0,retired,1,6172,.35806245
100685,1,employed,0,9652,.75050139
100686,0,employed,1,59799,.53002721
100687,1,employed,1,8963,.63394469
100688,1,employed,1,5726,0
100689,1,employed,1,9399,0
100690,1,retired,1,11523,.21402772
100691,0,student,0,3775,.80635583
100692,1,employed,1,8524,.50212324
100693,1,employed,1,13469,.57359362
100694,1,employed,0,8514,.80131173
100695,1,employed,1,9906,.70264161
100696,1,student,0,4362,.86126471
100697,0,retired,1,3482,.23265943
100698,1,employed,1,8037,.79315054
100699,0,employed,1,12634,0
100700,0,unemployed,1,8701,0
100701,1,employed,0,7832,0
100702,1,unemployed,1,0,.55224413
100703,0,employed,0,19130,0
100704,1,retired,1,4609,0
100705,0,employed,1,9183,.15205336
100706,0,retired,1,7005,.0039178939
100707,1,employed,1,30393,.21971144
100708,1,employed,1,8009,.59250861
100709,1,employed,0,19961,0
100710,1,retired,1,2848,.02476478
100711,0,unemployed,1,0,0
100712,1,student,0,4712,.82483196
100713,1,employed,1,14772,0
100714,1,employed,1,14471,0
100715,1,student,0,0,.62011826
100716,0,retired,0,7573,.31276447
100717,1,retired,1,5344,0
100718,1,retired,1,3866,.26182574
100719,0,unemployed,0,18852,0
100720,1,unemployed,0,0,.2324522
100721,1,employed,0,5646,0
100722,0,employed,0,8500,.60781473
100723,1,employed,1,13934,.60426509
100724,0,employed,1,6543,.62222797
100725,1,unemployed,0,7419,.81489372
100726,1,retired,1,3786,.03655418
100727,1,student,0,0,.42007861
100728,0,student,0,0,.8985517
100729,1,employed,1,30534,.30184284
100730,0,unemployed,1,19992,.78657955
100731,1,employed,1,51050,.52247101
100732,0,employed,1,5930,.082022049
100733,1,employed,1,7559,.52016282
100734,1,retired,0,11193,0
100735,0,unemployed,1,28809,.50791699
100736,1,student,0,0,.88558877
100737,1,student,1,0,.80775934
100738,1,employed,1,8041,.19694401
100739,1,employed,1,11788,0
100740,1,student,0,3397,.92211264
100741,1,employed,1,19553,0
100742,1,student,0,0,.3255125
100743,1,retired,0,6899,0
100744,0,employed,1,7477,.62032318
100745,0,employed,1,9161,.95815718
100746,0,employed,0,7985,.85710794
100747,1,employed,1,74195,.70494586
100748,0,unemployed,1,0,0
100749,1,employed,1,6539,0
100750,0,retired,1,4943,.029965207
100751,1,employed,1,9623,.64798999
100752,1,student,0,26018,.7796737
100753,0,employed,1,6081,.70888364
100754,1,employed,1,6705,.24994285
100755,1,employed,1,21221,.11465086
100756,1,employed,1,33755,.62782747
100757,0,employed,0,10033,.95706367
100758,0,employed,0,9090,.65604883
100759,1,unemployed,0,0,.64328718
100760,1,employed,0,5635,.64677745
100761,1,employed,1,10872,.52637988
100762,1,retired,0,6810,.21039841
100763,1,student,0,0,.40475753
100764,0,student,0,0,.20751064
100765,1,employed,1,29529,.23452415
100766,1,employed,1,10918,.78471881
100767,1,student,0,68284,.83359551
100768,0,employed,1,41225,.36771595
100769,1,employed,1,26869,.059912782
100770,1,employed,1,8133,.45254865
100771,0,student,0,0,.99151814
100772,1,employed,1,73625,.82764542
100773,1,student,0,0,0
100774,1,student,0,0,.90828478
100775,1,employed,1,9942,0
100776,0,unemployed,1,0,.82172412
100777,1,employed,1,7687,0
100778,1,employed,1,9345,0
100779,1,employed,1,20472,.095013641
100780,1,retired,1,5150,0
100781,1,employed,1,9290,.11620347
100782,1,employed,1,16886,.27144444
100783,1,unemployed,1,0,.56153965
100784,0,student,0,18654,.86437929
100785,1,student,0,0,0
100786,1,employed,1,17315,.12529634
100787,0,student,0,0,.15023741
100788,0,employed,1,16014,.62869513
100789,1,employed,1,40966,.81439894
100790,1,employed,0,7285,0
100791,1,unemployed,0,0,.46300676
100792,1,employed,1,13196,.64147693
100793,0,employed,1,11897,.70098901
100794,1,retired,1,4650,.30890453
100795,1,employed,1,20619,0
100796,1,employed,1,5855,.8836056
100797,1,employed,1,14861,.98849052
100798,1,employed,1,12208,.023632709
100799,1,student,0,0,.8759411
100800,1,student,0,0,.55508018
100801,1,employed,1,15413,.70413572
100802,1,employed,1,6034,.18604425
100803,0,employed,1,36964,.68198037
100804,1,unemployed,1,0,.57967663
100805,1,unemployed,1,0,.65155178
100806,1,student,0,1675,.9165293
100807,1,unemployed,1,0,.46180561
100808,1,employed,1,9453,0
100809,1,student,0,3828,.83658981
100810,1,employed,0,24471,.30276689
